Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
Cordillera Administrative Region,Luzon,14557082197.87,2443.46,241.37,100.00,100.00
National Capital Region,Luzon,37374807552.77,323215.64,275.14,99.87,100.00
Region I,Luzon,24127224108.76,1819.80,229.37,98.62,100.00
Region II,Luzon,22492433992.21,10000.00,256.72,100.00,100.00
Region III,Luzon,62517911971.79,2244.01,215.60,100.00,100.00
Region IV-A,Luzon,34613010963.02,635.76,256.62,99.86,100.00
Region IV-B,Luzon,22432789116.38,2886.84,268.40,99.70,100.00
Region IX,Mindanao,4292690070.72,49019.73,352.98,100.00,100.00
Region VI,Visayas,19178049284.75,795.81,316.16,100.00,100.00
Region VIII,Visayas,18757160567.23,60312.50,265.89,100.00,100.00
Region X,Mindanao,21108791834.06,109843.27,363.88,100.00,100.00
Region XII,Mindanao,11853038840.21,12457.90,274.45,100.00,100.00
Region XIII,Mindanao,18686741373.37,202.65,329.91,100.00,61.43
Region V,Luzon,42471531344.45,87.15,238.49,100.00,36.54
Region VII,Visayas,27449467562.05,28.30,250.73,99.79,11.29
Region XI,Mindanao,17878556404.67,0.00,307.21,100.00,0.00
